site;community;date;weekday;post_url;post_text
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547942;Использовать освобождение от НДС смогут больше компаний из сферы общепита. С 1 октября 2025 года повышен годовой лимит доходов: вместо прежнего порога в 2 млрд руб. будет действовать лимит 3 млрд руб.
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547941;После слов Трампа об отправке атомных субмарин к побережью России «из предосторожности» Медведев усомнился в реальности подобных действий и заявил, что «трудно найти черную кошку в темной комнате, особенно если ее там нет»
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547940;Павел Дуров рассказал, что в 2018 году пережил покушение: после контакта с неизвестным веществом он потерял силы, не мог дышать и две недели был не способен ходить. По словам предпринимателя, он не поделился этим с командой
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547939;В октябре россияне столкнутся с рядом изменений в законодательстве. Кого в грядущем месяце освободят от уплаты НДС, кто сможет взять кредитные каникулы и кому проиндексируют зарплату — в материале РБК
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547938;В 2024 году Россия осталась крупнейшим поставщиком топлива для ядерных реакторов США, обеспечив 20% поставок. В США ранее усомнились в полном отказе от российского урана до завершения конфликта на Украине
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547937;30 сентября итальянская актриса и модель Моника Беллуччи празднует день рождения. Ей исполнился 61 год. Как менялась актриса — в материале РБК Life  Читать: https://vk.cc/cPYiIW
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547936;«РБК Вино» поговорил с художницей Екатериной Песковой о том, что нужно учесть, если вы решили не допивать вино, а использовать его в качестве художественного материала  Читать: https://vk.cc/cPYitw
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547935;Многие покупатели подержанных машин из Америки или Кореи не подозревают о скрытой угрозе — коррозии внутри двигателя. Мы разобрались, насколько распространена эта проблема и как себя обезопасить  Читать: https://vk.cc/cPYgpN
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547934;В Китае вызвала резонанс история молодого мужчины, отказавшегося от элитного образа жизни. Он стал бездомным и выживает на $14 в месяц  ▪ 32-летний Чжао Дянь всегда стремился к знаниям, несмотря на постоянное давление со стороны требовательных родителей и непростое детство. В прошлом году он принял радикальное решение жить на улице. Он считает, что этот выбор значительно усилил его чувство удовлетворенности.  ▪ Теперь его распорядок дня состоит из пробуждения в 7 утра и отхода ко сну к 9 вечера. Периодически он принимает душ в хостелах, питается в бесплатных вегетарианских ресторанах и пользуется услугами прачечной в отелях.  ▪ С родителями Чжао Дянь не общается. У него есть десятилетняя дочь от предыдущего брака в Нью-Йорке. Они поддерживают связь онлайн.  ▪ Несмотря на образование, полученное в престижных вузах, он считает токсичную образовательную среду причиной того, что многие молодые люди часто чувствуют себя потерянными и оторванными от реальности. Он запустил проект, помогающий детям найти свое истинное призвание, чтобы не становиться заложниками навязанного кем-то пути.  Фото: 2p2play / Shutterstock / FOTODOM  [https://vk.com/rbc_life|Подписаться на РБК Life]
vk.com;rbc;2025-09-30;вторник;https://vk.com/wall-25232578_18547933;Среди студентов становится все популярнее вахтовый метод работы, сообщили РБК Life в пресс-службе компании «Авито Работа».  1⃣ Количество вакансий для сортировщиков за год увеличилось в 2,4 раза — на 140%. В среднем студентам на этой позиции предлагают 215 729 руб. за вахту. Основные обязанности включают сортировку и размещение товаров на складе.  2⃣ На втором месте по росту числа вакансий оказались сканировщики. Количество предложений за год увеличилось на 111%. Их задачи — сканирование товаров через терминал и участие в сборке заказов. Среднее предложение по зарплате для таких специалистов достигает 334 011 руб. за одну вахту.  3⃣ Третью позицию занимают сотрудники складов. Количество вакансий с этим профилем выросло на 66% по сравнению с прошлым годом. Работодатели предлагают в среднем 161 255 руб. в месяц при вахтовом графике. В обязанности таких специалистов входят упаковка, укладка и комплектовка готовой продукции.  Фото: LightField Studios / Shutterstock / FOTODOM  [https://vk.com/rbc_life|Подписаться на РБК Life]
